fig|3702.11.peg.1	ATMG00010	ATMG00010.1
fig|3702.11.peg.14506	AT3G48550	AT3G48550.1
fig|3702.11.peg.14507	AT3G48560	AT3G48560.1
fig|3702.11.peg.14508	AT3G48570	AT3G48570.1
fig|3702.11.peg.14509	AT3G48580	AT3G48580.1
fig|3702.11.peg.1451	AT5G13470	AT5G13470.1
fig|3702.11.peg.14510	AT3G48590	AT3G48590.1
fig|3702.11.peg.14511	AT3G48600	AT3G48600.2
fig|3702.11.peg.14512	AT3G48610	AT3G48610.1
fig|3702.11.peg.14513	AT3G48620	AT3G48620.1
fig|3702.11.peg.14514	AT3G48630	AT3G48630.1
fig|3702.11.peg.14515	AT3G48640	AT3G48640.1
fig|3702.11.peg.14516	AT3G48660	AT3G48660.1
fig|3702.11.peg.14517	AT3G48670	AT3G48670.2
fig|3702.11.peg.14518	AT3G48675	AT3G48675.1
fig|3702.11.peg.14519	AT3G48680	AT3G48680.1
fig|3702.11.peg.1452	AT5G13480	AT5G13480.2
fig|3702.11.peg.14520	AT3G48690	AT3G48690.1
fig|3702.11.peg.14521	AT3G48700	AT3G48700.1
fig|3702.11.peg.14522	AT3G48710	AT3G48710.1
fig|3702.11.peg.14523	AT3G48720	AT3G48720.1
fig|3702.11.peg.14524	AT3G48730	AT3G48730.1
fig|3702.11.peg.14525	AT3G48740	AT3G48740.1
fig|3702.11.peg.14526	AT3G48750	AT3G48750.1
fig|3702.11.peg.14527	AT3G48760	AT3G48760.1
fig|3702.11.peg.14528	AT3G48770	AT3G48770.1
fig|3702.11.peg.14529	AT3G48780	AT3G48780.1
fig|3702.11.peg.1453	AT5G13490	AT5G13490.2
fig|3702.11.peg.14530	AT3G48790	AT3G48790.1
fig|3702.11.peg.14531	AT3G48800	AT3G48800.1
fig|3702.11.peg.14532	AT3G48810	AT3G48810.1
fig|3702.11.peg.14533	AT3G48820	AT3G48820.1
fig|3702.11.peg.14534	AT3G48830	AT3G48830.1
fig|3702.11.peg.14535	AT3G48840	AT3G48840.1
fig|3702.11.peg.14536	AT3G48850	AT3G48850.1
fig|3702.11.peg.14537	AT3G48860	AT3G48860.2
fig|3702.11.peg.14538	AT3G48870	AT3G48870.1
fig|3702.11.peg.14539	AT3G48880	AT3G48880.1
fig|3702.11.peg.1454	AT5G13500	AT5G13500.3
fig|3702.11.peg.14540	AT3G48890	AT3G48890.1
fig|3702.11.peg.14541	AT3G48900	AT3G48900.2
fig|3702.11.peg.14542	AT3G48920	AT3G48920.1
fig|3702.11.peg.14543	AT3G48930	AT3G48930.1
fig|3702.11.peg.14544	AT3G48940	AT3G48940.1
fig|3702.11.peg.14545	AT3G48950	AT3G48950.1
fig|3702.11.peg.14546	AT3G48960	AT3G48960.1
fig|3702.11.peg.14547	AT3G48970	AT3G48970.1
fig|3702.11.peg.14548	AT3G48980	AT3G48980.1
fig|3702.11.peg.14549	AT3G48990	AT3G48990.1
fig|3702.11.peg.1455	AT5G13510	AT5G13510.1
fig|3702.11.peg.14550	AT3G49000	AT3G49000.1
fig|3702.11.peg.14551	AT3G49010	AT3G49010.1
fig|3702.11.peg.14552	AT3G49020	AT3G49020.1
fig|3702.11.peg.14553	AT3G49030	AT3G49030.1
fig|3702.11.peg.14554	AT3G49040	AT3G49040.1
fig|3702.11.peg.14555	AT3G49050	AT3G49050.1
fig|3702.11.peg.14556	AT3G49051	AT3G49051.1
fig|3702.11.peg.14557	AT3G49055	AT3G49055.1
fig|3702.11.peg.14558	AT3G49060	AT3G49060.1
fig|3702.11.peg.14559	AT3G49070	AT3G49070.1
fig|3702.11.peg.1456	AT5G13520	AT5G13520.1
fig|3702.11.peg.14560	AT3G49080	AT3G49080.1
fig|3702.11.peg.14561	AT3G49100	AT3G49100.1
fig|3702.11.peg.14562	AT3G49110	AT3G49110.1
fig|3702.11.peg.14563	AT3G49115	AT3G49115.1
fig|3702.11.peg.14564	AT3G49120	AT3G49120.1
fig|3702.11.peg.14565	AT3G49130	AT3G49130.1
fig|3702.11.peg.14566	AT3G49140	AT3G49140.1
fig|3702.11.peg.14567	AT3G49142	AT3G49142.1
fig|3702.11.peg.14568	AT3G49150	AT3G49150.1
fig|3702.11.peg.14569	AT3G49160	AT3G49160.1
fig|3702.11.peg.1457	AT5G13530	AT5G13530.1
fig|3702.11.peg.14570	AT3G49170	AT3G49170.1
fig|3702.11.peg.14571	AT3G49180	AT3G49180.1
fig|3702.11.peg.14572	AT3G49190	AT3G49190.1
fig|3702.11.peg.14573	AT3G49200	AT3G49200.1
fig|3702.11.peg.14574	AT3G49210	AT3G49210.1
fig|3702.11.peg.14575	AT3G49220	AT3G49220.1
fig|3702.11.peg.14576	AT3G49230	AT3G49230.1
fig|3702.11.peg.14577	AT3G49240	AT3G49240.1
fig|3702.11.peg.14578	AT3G49250	AT3G49250.1
fig|3702.11.peg.14579	AT3G49260	AT3G49260.3
fig|3702.11.peg.1458	AT5G13550	AT5G13550.1
fig|3702.11.peg.14580	AT3G49270	AT3G49270.3
fig|3702.11.peg.14581	AT3G49290	AT3G49290.2
fig|3702.11.peg.14582	AT3G49300	AT3G49300.1
fig|3702.11.peg.14583	AT3G49305	AT3G49305.1
fig|3702.11.peg.14584	AT3G49307	AT3G49307.1
fig|3702.11.peg.14585	AT3G49310	AT3G49310.1
fig|3702.11.peg.14586	AT3G49320	AT3G49320.1
fig|3702.11.peg.14587	AT3G49330	AT3G49330.1
fig|3702.11.peg.14588	AT3G49340	AT3G49340.1
fig|3702.11.peg.14589	AT3G49350	AT3G49350.1
fig|3702.11.peg.1459	AT5G13560	AT5G13560.1
fig|3702.11.peg.14590	AT3G49360	AT3G49360.1
fig|3702.11.peg.14591	AT3G49370	AT3G49370.1
fig|3702.11.peg.14592	AT3G49380	AT3G49380.1
fig|3702.11.peg.14593	AT3G49390	AT3G49390.2
fig|3702.11.peg.14594	AT3G49400	AT3G49400.1
fig|3702.11.peg.14595	AT3G49410	AT3G49410.1
fig|3702.11.peg.14596	AT3G49420	AT3G49420.1
fig|3702.11.peg.14597	AT3G49430	AT3G49430.1
fig|3702.11.peg.14598	AT3G49440	AT3G49440.1
fig|3702.11.peg.14599	AT3G49450	AT3G49450.1
fig|3702.11.peg.146	ATCG00420	ATCG00420.1
fig|3702.11.peg.1460	AT5G13570	AT5G13570.2
fig|3702.11.peg.14600	AT3G49460	AT3G49460.1
fig|3702.11.peg.14601	AT3G49470	AT3G49470.1
fig|3702.11.peg.14602	AT3G49480	AT3G49480.1
fig|3702.11.peg.14603	AT3G49490	AT3G49490.1
fig|3702.11.peg.14604	AT3G49500	AT3G49500.1
fig|3702.11.peg.14605	AT3G49510	AT3G49510.1
fig|3702.11.peg.14606	AT3G49520	AT3G49520.1
fig|3702.11.peg.14607	AT3G49530	AT3G49530.1
fig|3702.11.peg.14608	AT3G49540	AT3G49540.1
fig|3702.11.peg.14609	AT3G49550	AT3G49550.1
fig|3702.11.peg.1461	AT5G13580	AT5G13580.1
fig|3702.11.peg.14610	AT3G49551	AT3G49551.1
fig|3702.11.peg.14611	AT3G49560	AT3G49560.1
fig|3702.11.peg.14612	AT3G49570	AT3G49570.1
fig|3702.11.peg.14613	AT3G49580	AT3G49580.1
fig|3702.11.peg.14614	AT3G49590	AT3G49590.3
fig|3702.11.peg.14615	AT3G49600	AT3G49600.1
fig|3702.11.peg.14616	AT3G49601	AT3G49601.1
fig|3702.11.peg.14617	AT3G49610	AT3G49610.1
fig|3702.11.peg.14618	AT3G49620	AT3G49620.1
fig|3702.11.peg.14619	AT3G49630	AT3G49630.1
fig|3702.11.peg.1462	AT5G13590	AT5G13590.1
fig|3702.11.peg.14620	AT3G49640	AT3G49640.1
fig|3702.11.peg.14621	AT3G49645	AT3G49645.1
fig|3702.11.peg.14622	AT3G49650	AT3G49650.1
fig|3702.11.peg.14623	AT3G49660	AT3G49660.1
fig|3702.11.peg.14624	AT3G49670	AT3G49670.1
fig|3702.11.peg.14625	AT3G49680	AT3G49680.1
fig|3702.11.peg.14626	AT3G49690	AT3G49690.1
fig|3702.11.peg.14627	AT3G49700	AT3G49700.1
fig|3702.11.peg.14628	AT3G49710	AT3G49710.1
fig|3702.11.peg.14629	AT3G49720	AT3G49720.1
fig|3702.11.peg.1463	AT5G13600	AT5G13600.1
fig|3702.11.peg.14630	AT3G49725	AT3G49725.1
fig|3702.11.peg.14631	AT3G49730	AT3G49730.1
fig|3702.11.peg.14632	AT3G49740	AT3G49740.1
fig|3702.11.peg.14633	AT3G49744	AT3G49744.1
fig|3702.11.peg.14634	AT3G49750	AT3G49750.1
fig|3702.11.peg.14635	AT3G49760	AT3G49760.1
fig|3702.11.peg.14636	AT3G49770	AT3G49770.1
fig|3702.11.peg.14637	AT3G49780	AT3G49780.1
fig|3702.11.peg.14638	AT3G49790	AT3G49790.1
fig|3702.11.peg.14639	AT3G49796	AT3G49796.1
fig|3702.11.peg.1464	AT5G13610	AT5G13610.1
fig|3702.11.peg.14640	AT3G49800	AT3G49800.1
fig|3702.11.peg.14641	AT3G49810	AT3G49810.1
fig|3702.11.peg.14642	AT3G49820	AT3G49820.1
fig|3702.11.peg.14643	AT3G49830	AT3G49830.1
fig|3702.11.peg.14644	AT3G49840	AT3G49840.1
fig|3702.11.peg.14645	AT3G49845	AT3G49845.1
fig|3702.11.peg.14646	AT3G49850	AT3G49850.1
fig|3702.11.peg.14647	AT3G49860	AT3G49860.1
fig|3702.11.peg.14648	AT3G49870	AT3G49870.1
fig|3702.11.peg.14649	AT3G49880	AT3G49880.1
fig|3702.11.peg.1465	AT5G13620	AT5G13620.1
fig|3702.11.peg.14650	AT3G49890	AT3G49890.1
fig|3702.11.peg.14651	AT3G49900	AT3G49900.2
fig|3702.11.peg.14652	AT3G49910	AT3G49910.1
fig|3702.11.peg.14653	AT3G49920	AT3G49920.1
fig|3702.11.peg.14654	AT3G49930	AT3G49930.1
fig|3702.11.peg.14655	AT3G49940	AT3G49940.1
fig|3702.11.peg.14656	AT3G49950	AT3G49950.1
fig|3702.11.peg.14657	AT3G49960	AT3G49960.1
fig|3702.11.peg.14658	AT3G49970	AT3G49970.1
fig|3702.11.peg.14659	AT3G49980	AT3G49980.1
fig|3702.11.peg.1466	AT5G13630	AT5G13630.1
fig|3702.11.peg.14660	AT3G49990	AT3G49990.1
fig|3702.11.peg.14661	AT3G50000	AT3G50000.1
fig|3702.11.peg.14662	AT3G50010	AT3G50010.1
fig|3702.11.peg.14663	AT3G50020	AT3G50020.1
fig|3702.11.peg.14664	AT3G50022	AT3G50022.1
fig|3702.11.peg.14665	AT3G50030	AT3G50030.1
fig|3702.11.peg.14666	AT3G50040	AT3G50040.1
fig|3702.11.peg.14667	AT3G50050	AT3G50050.1
fig|3702.11.peg.14668	AT3G50060	AT3G50060.1
fig|3702.11.peg.14669	AT3G50070	AT3G50070.1
fig|3702.11.peg.1467	AT5G13640	AT5G13640.1
fig|3702.11.peg.14670	AT3G50080	AT3G50080.1
fig|3702.11.peg.14671	AT3G50090	AT3G50090.1
fig|3702.11.peg.14672	AT3G50100	AT3G50100.1
fig|3702.11.peg.14673	AT3G50110	AT3G50110.1
fig|3702.11.peg.14674	AT3G50120	AT3G50120.1
fig|3702.11.peg.14675	AT3G50123	AT3G50123.1
fig|3702.11.peg.14676	AT3G50130	AT3G50130.1
fig|3702.11.peg.14677	AT3G50140	AT3G50140.1
fig|3702.11.peg.14678	AT3G50150	AT3G50150.1
fig|3702.11.peg.14679	AT3G50160	AT3G50160.1
fig|3702.11.peg.1468	AT5G13650	AT5G13650.2
fig|3702.11.peg.14680	AT3G50170	AT3G50170.1
fig|3702.11.peg.14681	AT3G50180	AT3G50180.1
fig|3702.11.peg.14682	AT3G50190	AT3G50190.1
fig|3702.11.peg.14683	AT3G50200	AT3G50200.1
fig|3702.11.peg.14684	AT3G50210	AT3G50210.1
fig|3702.11.peg.14685	AT3G50220	AT3G50220.1
fig|3702.11.peg.14686	AT3G50230	AT3G50230.1
fig|3702.11.peg.14687	AT3G50240	AT3G50240.1
fig|3702.11.peg.14688	AT3G50250	AT3G50250.1
fig|3702.11.peg.14689	AT3G50260	AT3G50260.1
fig|3702.11.peg.1469	AT5G13660	AT5G13660.2
fig|3702.11.peg.14690	AT3G50270	AT3G50270.1
fig|3702.11.peg.14691	AT3G50280	AT3G50280.1
fig|3702.11.peg.14692	AT3G50290	AT3G50290.1
fig|3702.11.peg.14693	AT3G50300	AT3G50300.1
fig|3702.11.peg.14694	AT3G50310	AT3G50310.1
fig|3702.11.peg.14695	AT3G50320	AT3G50320.1
fig|3702.11.peg.14696	AT3G50330	AT3G50330.1
fig|3702.11.peg.14697	AT3G50337	AT3G50337.1
fig|3702.11.peg.14698	AT3G50340	AT3G50340.1
fig|3702.11.peg.14699	AT3G50350	AT3G50350.1
fig|3702.11.peg.147	ATCG00430	ATCG00430.1
fig|3702.11.peg.1470	AT5G13670	AT5G13670.1
fig|3702.11.peg.14700	AT3G50360	AT3G50360.1
fig|3702.11.peg.14701	AT3G50370	AT3G50370.1
fig|3702.11.peg.14702	AT3G50373	AT3G50373.1
fig|3702.11.peg.14703	AT3G50380	AT3G50380.1
fig|3702.11.peg.14704	AT3G50390	AT3G50390.1
fig|3702.11.peg.14705	AT3G50400	AT3G50400.1
fig|3702.11.peg.14706	AT3G50410	AT3G50410.1
fig|3702.11.peg.14707	AT3G50420	AT3G50420.1
fig|3702.11.peg.14708	AT3G50430	AT3G50430.1
fig|3702.11.peg.14709	AT3G50440	AT3G50440.1
fig|3702.11.peg.1471	AT5G13680	AT5G13680.1
fig|3702.11.peg.14710	AT3G50450	AT3G50450.1
fig|3702.11.peg.14711	AT3G50460	AT3G50460.1
fig|3702.11.peg.14712	AT3G50470	AT3G50470.1
fig|3702.11.peg.14713	AT3G50480	AT3G50480.1
fig|3702.11.peg.14714	AT3G50500	AT3G50500.2
fig|3702.11.peg.14715	AT3G50510	AT3G50510.1
fig|3702.11.peg.14716	AT3G50520	AT3G50520.1
fig|3702.11.peg.14717	AT3G50530	AT3G50530.2
fig|3702.11.peg.14718	AT3G50540	AT3G50540.1
fig|3702.11.peg.14719	AT3G50550	AT3G50550.1
fig|3702.11.peg.1472	AT5G13690	AT5G13690.1
fig|3702.11.peg.14720	AT3G50560	AT3G50560.1
fig|3702.11.peg.14721	AT3G50570	AT3G50570.1
fig|3702.11.peg.14722	AT3G50580	AT3G50580.1
fig|3702.11.peg.14723	AT3G50590	AT3G50590.1
fig|3702.11.peg.14724	AT3G50610	AT3G50610.1
fig|3702.11.peg.14725	AT3G50620	AT3G50620.1
fig|3702.11.peg.14726	AT3G50630	AT3G50630.1
fig|3702.11.peg.14727	AT3G50640	AT3G50640.1
fig|3702.11.peg.14728	AT3G50650	AT3G50650.1
fig|3702.11.peg.14729	AT3G50651	AT3G50651.1
fig|3702.11.peg.1473	AT5G13700	AT5G13700.1
fig|3702.11.peg.14730	AT3G50660	AT3G50660.1
fig|3702.11.peg.14731	AT3G50670	AT3G50670.1
fig|3702.11.peg.14732	AT3G50674	AT3G50674.1
fig|3702.11.peg.14733	AT3G50682	AT3G50682.1
fig|3702.11.peg.14734	AT3G50685	AT3G50685.1
fig|3702.11.peg.14735	AT3G50690	AT3G50690.1
fig|3702.11.peg.14736	AT3G50695	AT3G50695.1
fig|3702.11.peg.14737	AT3G50700	AT3G50700.1
fig|3702.11.peg.14738	AT3G50710	AT3G50710.1
fig|3702.11.peg.14739	AT3G50720	AT3G50720.1
fig|3702.11.peg.1474	AT5G13710	AT5G13710.1
fig|3702.11.peg.14740	AT3G50730	AT3G50730.1
fig|3702.11.peg.14741	AT3G50740	AT3G50740.1
fig|3702.11.peg.14742	AT3G50750	AT3G50750.1
fig|3702.11.peg.14743	AT3G50751	AT3G50751.1
fig|3702.11.peg.14744	AT3G50760	AT3G50760.1
fig|3702.11.peg.14745	AT3G50764	AT3G50764.1
fig|3702.11.peg.14746	AT3G50770	AT3G50770.1
fig|3702.11.peg.14747	AT3G50780	AT3G50780.1
fig|3702.11.peg.14748	AT3G50790	AT3G50790.1
fig|3702.11.peg.14749	AT3G50800	AT3G50800.1
fig|3702.11.peg.1475	AT5G13720	AT5G13720.1
fig|3702.11.peg.14750	AT3G50808	AT3G50808.1
fig|3702.11.peg.14751	AT3G50810	AT3G50810.1
fig|3702.11.peg.14752	AT3G50820	AT3G50820.1
fig|3702.11.peg.14753	AT3G50830	AT3G50830.1
fig|3702.11.peg.14754	AT3G50840	AT3G50840.1
fig|3702.11.peg.14755	AT3G50845	AT3G50845.1
fig|3702.11.peg.14756	AT3G50850	AT3G50850.1
fig|3702.11.peg.14757	AT3G50860	AT3G50860.1
fig|3702.11.peg.14758	AT3G50870	AT3G50870.1
fig|3702.11.peg.14759	AT3G50880	AT3G50880.1
fig|3702.11.peg.1476	AT5G13730	AT5G13730.1
fig|3702.11.peg.14760	AT3G50890	AT3G50890.1
fig|3702.11.peg.14761	AT3G50900	AT3G50900.1
fig|3702.11.peg.14762	AT3G50910	AT3G50910.1
fig|3702.11.peg.14763	AT3G50920	AT3G50920.1
fig|3702.11.peg.14764	AT3G50925	AT3G50925.1
fig|3702.11.peg.14765	AT3G50930	AT3G50930.1
fig|3702.11.peg.14766	AT3G50940	AT3G50940.1
fig|3702.11.peg.14767	AT3G50950	AT3G50950.1
fig|3702.11.peg.14768	AT3G50960	AT3G50960.1
fig|3702.11.peg.14769	AT3G50970	AT3G50970.1
fig|3702.11.peg.1477	AT5G13740	AT5G13740.1
fig|3702.11.peg.14770	AT3G50980	AT3G50980.1
fig|3702.11.peg.14771	AT3G50990	AT3G50990.1
fig|3702.11.peg.14772	AT3G51000	AT3G51000.1
fig|3702.11.peg.14773	AT3G51010	AT3G51010.1
fig|3702.11.peg.14774	AT3G51020	AT3G51020.1
fig|3702.11.peg.14775	AT3G51030	AT3G51030.1
fig|3702.11.peg.14776	AT3G51040	AT3G51040.2
fig|3702.11.peg.14777	AT3G51050	AT3G51050.1
fig|3702.11.peg.14778	AT3G51057	AT3G51057.1
fig|3702.11.peg.14779	AT3G51060	AT3G51060.1
fig|3702.11.peg.1478	AT5G13750	AT5G13750.1
fig|3702.11.peg.14780	AT3G51070	AT3G51070.1
fig|3702.11.peg.14781	AT3G51080	AT3G51080.1
fig|3702.11.peg.14782	AT3G51090	AT3G51090.1
fig|3702.11.peg.14783	AT3G51100	AT3G51100.1
fig|3702.11.peg.14784	AT3G51110	AT3G51110.1
fig|3702.11.peg.14785	AT3G51120	AT3G51120.1
fig|3702.11.peg.14786	AT3G51130	AT3G51130.1
fig|3702.11.peg.14787	AT3G51140	AT3G51140.1
fig|3702.11.peg.14788	AT3G51150	AT3G51150.2
fig|3702.11.peg.14789	AT3G51160	AT3G51160.1
fig|3702.11.peg.1479	AT5G13760	AT5G13760.1
fig|3702.11.peg.14790	AT3G51171	AT3G51171.1
fig|3702.11.peg.14791	AT3G51180	AT3G51180.1
fig|3702.11.peg.14792	AT3G51190	AT3G51190.1
fig|3702.11.peg.14793	AT3G51200	AT3G51200.1
fig|3702.11.peg.14794	AT3G51210	AT3G51210.1
fig|3702.11.peg.14795	AT3G51220	AT3G51220.1
fig|3702.11.peg.14796	AT3G51230	AT3G51230.1
fig|3702.11.peg.14797	AT3G51240	AT3G51240.1
fig|3702.11.peg.14798	AT3G51250	AT3G51250.1
fig|3702.11.peg.14799	AT3G51260	AT3G51260.1
fig|3702.11.peg.148	ATCG00440	ATCG00440.1
fig|3702.11.peg.1480	AT5G13770	AT5G13770.1
fig|3702.11.peg.14800	AT3G51270	AT3G51270.1
fig|3702.11.peg.14801	AT3G51280	AT3G51280.1
fig|3702.11.peg.14802	AT3G51290	AT3G51290.2
fig|3702.11.peg.14803	AT3G51300	AT3G51300.1
fig|3702.11.peg.14804	AT3G51310	AT3G51310.1
fig|3702.11.peg.14805	AT3G51320	AT3G51320.1
fig|3702.11.peg.14806	AT3G51325	AT3G51325.1
fig|3702.11.peg.14807	AT3G51330	AT3G51330.1
fig|3702.11.peg.14808	AT3G51340	AT3G51340.1
fig|3702.11.peg.14809	AT3G51350	AT3G51350.1
fig|3702.11.peg.1481	AT5G13780	AT5G13780.1
fig|3702.11.peg.14810	AT3G51360	AT3G51360.1
fig|3702.11.peg.14811	AT3G51370	AT3G51370.1
fig|3702.11.peg.14812	AT3G51380	AT3G51380.1
fig|3702.11.peg.14813	AT3G51390	AT3G51390.1
fig|3702.11.peg.14814	AT3G51400	AT3G51400.1
fig|3702.11.peg.14815	AT3G51410	AT3G51410.1
fig|3702.11.peg.14816	AT3G51420	AT3G51420.1
fig|3702.11.peg.14817	AT3G51430	AT3G51430.1
fig|3702.11.peg.14818	AT3G51440	AT3G51440.1
fig|3702.11.peg.14819	AT3G51450	AT3G51450.1
fig|3702.11.peg.1482	AT5G13790	AT5G13790.1
fig|3702.11.peg.14820	AT3G51460	AT3G51460.1
fig|3702.11.peg.14821	AT3G51470	AT3G51470.1
fig|3702.11.peg.14822	AT3G51480	AT3G51480.1
fig|3702.11.peg.14823	AT3G51490	AT3G51490.2
fig|3702.11.peg.14824	AT3G51500	AT3G51500.1
fig|3702.11.peg.14825	AT3G51510	AT3G51510.1
fig|3702.11.peg.14826	AT3G51520	AT3G51520.1
fig|3702.11.peg.14827	AT3G51530	AT3G51530.1
fig|3702.11.peg.14828	AT3G51540	AT3G51540.1
fig|3702.11.peg.14829	AT3G51550	AT3G51550.1
fig|3702.11.peg.1483	AT5G13800	AT5G13800.2
fig|3702.11.peg.14830	AT3G51560	AT3G51560.1
fig|3702.11.peg.14831	AT3G51570	AT3G51570.1
fig|3702.11.peg.14832	AT3G51580	AT3G51580.2
fig|3702.11.peg.14833	AT3G51590	AT3G51590.1
fig|3702.11.peg.14834	AT3G51600	AT3G51600.1
fig|3702.11.peg.14835	AT3G51610	AT3G51610.1
fig|3702.11.peg.14836	AT3G51620	AT3G51620.2
fig|3702.11.peg.14837	AT3G51630	AT3G51630.2
fig|3702.11.peg.14838	AT3G51632	AT3G51632.1
fig|3702.11.peg.14839	AT3G51636	AT3G51636.1
fig|3702.11.peg.1484	AT5G13810	AT5G13810.1
fig|3702.11.peg.14840	AT3G51640	AT3G51640.1
fig|3702.11.peg.14841	AT3G51642	AT3G51642.1
fig|3702.11.peg.14842	AT3G51644	AT3G51644.1
fig|3702.11.peg.14843	AT3G51650	AT3G51650.1
fig|3702.11.peg.14844	AT3G51660	AT3G51660.1
fig|3702.11.peg.14845	AT3G51670	AT3G51670.1
fig|3702.11.peg.14846	AT3G51680	AT3G51680.1
fig|3702.11.peg.14847	AT3G51690	AT3G51690.1
fig|3702.11.peg.14848	AT3G51700	AT3G51700.1
fig|3702.11.peg.14849	AT3G51710	AT3G51710.1
fig|3702.11.peg.1485	AT5G13820	AT5G13820.1
fig|3702.11.peg.14850	AT3G51720	AT3G51720.1
fig|3702.11.peg.14851	AT3G51730	AT3G51730.1
fig|3702.11.peg.14852	AT3G51740	AT3G51740.1
fig|3702.11.peg.14853	AT3G51750	AT3G51750.3
fig|3702.11.peg.14854	AT3G51760	AT3G51760.2
fig|3702.11.peg.14855	AT3G51770	AT3G51770.2
fig|3702.11.peg.14856	AT3G51780	AT3G51780.1
fig|3702.11.peg.14857	AT3G51790	AT3G51790.1
fig|3702.11.peg.14858	AT3G51800	AT3G51800.2
fig|3702.11.peg.14859	AT3G51810	AT3G51810.1
fig|3702.11.peg.1486	AT5G13825	AT5G13825.1
fig|3702.11.peg.14860	AT3G51820	AT3G51820.1
fig|3702.11.peg.14861	AT3G51830	AT3G51830.1
fig|3702.11.peg.14862	AT3G51840	AT3G51840.1
fig|3702.11.peg.14863	AT3G51850	AT3G51850.1
fig|3702.11.peg.14864	AT3G51860	AT3G51860.1
fig|3702.11.peg.14865	AT3G51870	AT3G51870.1
fig|3702.11.peg.14866	AT3G51880	AT3G51880.2
fig|3702.11.peg.14867	AT3G51890	AT3G51890.1
fig|3702.11.peg.14868	AT3G51895	AT3G51895.1
fig|3702.11.peg.14869	AT3G51910	AT3G51910.1
fig|3702.11.peg.1487	AT5G13830	AT5G13830.1
fig|3702.11.peg.14870	AT3G51915	AT3G51915.1
fig|3702.11.peg.14871	AT3G51920	AT3G51920.1
fig|3702.11.peg.14872	AT3G51930	AT3G51930.1
fig|3702.11.peg.14873	AT3G51940	AT3G51940.1
fig|3702.11.peg.14874	AT3G51950	AT3G51950.2
fig|3702.11.peg.14875	AT3G51960	AT3G51960.2
fig|3702.11.peg.14876	AT3G51970	AT3G51970.1
fig|3702.11.peg.14877	AT3G51980	AT3G51980.1
fig|3702.11.peg.14878	AT3G51990	AT3G51990.1
fig|3702.11.peg.14879	AT3G52000	AT3G52000.1
fig|3702.11.peg.1488	AT5G13840	AT5G13840.2
fig|3702.11.peg.14880	AT3G52010	AT3G52010.1
fig|3702.11.peg.14881	AT3G52020	AT3G52020.1
fig|3702.11.peg.14882	AT3G52030	AT3G52030.1
fig|3702.11.peg.14883	AT3G52040	AT3G52040.1
fig|3702.11.peg.14884	AT3G52050	AT3G52050.3
fig|3702.11.peg.14885	AT3G52060	AT3G52060.2
fig|3702.11.peg.14886	AT3G52070	AT3G52070.1
fig|3702.11.peg.14887	AT3G52080	AT3G52080.1
fig|3702.11.peg.14888	AT3G52090	AT3G52090.2
fig|3702.11.peg.14889	AT3G52100	AT3G52100.1
fig|3702.11.peg.1489	AT5G13850	AT5G13850.1
fig|3702.11.peg.14890	AT3G52105	AT3G52105.1
fig|3702.11.peg.14891	AT3G52110	AT3G52110.1
fig|3702.11.peg.14892	AT3G52115	AT3G52115.1
fig|3702.11.peg.14893	AT3G52120	AT3G52120.1
fig|3702.11.peg.14894	AT3G52130	AT3G52130.1
fig|3702.11.peg.14895	AT3G52140	AT3G52140.4
fig|3702.11.peg.14896	AT3G52150	AT3G52150.1
fig|3702.11.peg.14897	AT3G52155	AT3G52155.1
fig|3702.11.peg.14898	AT3G52160	AT3G52160.1
fig|3702.11.peg.14899	AT3G52170	AT3G52170.2
fig|3702.11.peg.149	ATCG00470	ATCG00470.1
fig|3702.11.peg.1490	AT5G13860	AT5G13860.1
fig|3702.11.peg.14900	AT3G52180	AT3G52180.1
fig|3702.11.peg.14901	AT3G52190	AT3G52190.1
fig|3702.11.peg.14902	AT3G52200	AT3G52200.2
fig|3702.11.peg.14903	AT3G52210	AT3G52210.3
fig|3702.11.peg.14904	AT3G52220	AT3G52220.1
fig|3702.11.peg.14905	AT3G52230	AT3G52230.1
fig|3702.11.peg.14906	AT3G52240	AT3G52240.1
fig|3702.11.peg.14907	AT3G52250	AT3G52250.1
fig|3702.11.peg.14908	AT3G52260	AT3G52260.3
fig|3702.11.peg.14909	AT3G52270	AT3G52270.1
fig|3702.11.peg.1491	AT5G13870	AT5G13870.1
fig|3702.11.peg.14910	AT3G52280	AT3G52280.2
fig|3702.11.peg.14911	AT3G52290	AT3G52290.1
fig|3702.11.peg.14912	AT3G52300	AT3G52300.1
fig|3702.11.peg.14913	AT3G52310	AT3G52310.1
fig|3702.11.peg.14914	AT3G52302	AT3G52302.1
fig|3702.11.peg.14915	AT3G52320	AT3G52320.1
fig|3702.11.peg.14916	AT3G52330	AT3G52330.1
fig|3702.11.peg.14917	AT3G52340	AT3G52340.1
fig|3702.11.peg.14918	AT3G52350	AT3G52350.1
fig|3702.11.peg.14919	AT3G52360	AT3G52360.1
fig|3702.11.peg.1492	AT5G13880	AT5G13880.1
fig|3702.11.peg.14920	AT3G52370	AT3G52370.1
fig|3702.11.peg.14921	AT3G52380	AT3G52380.1
fig|3702.11.peg.14922	AT3G52390	AT3G52390.2
fig|3702.11.peg.14923	AT3G52400	AT3G52400.1
fig|3702.11.peg.14924	AT3G52420	AT3G52420.1
