fig|381124.6.peg.10076	GRMZM2G129090	GRMZM2G129090_T01
fig|381124.6.peg.10077	GRMZM2G325580	GRMZM2G325580_T01
fig|381124.6.peg.10078	GRMZM2G359102	GRMZM2G359102_T01
fig|381124.6.peg.10079	GRMZM2G145579	GRMZM2G145579_T01
fig|381124.6.peg.1008	GRMZM2G086069	GRMZM2G086069_T01
fig|381124.6.peg.10080	GRMZM2G117329	GRMZM2G117329_T01
fig|381124.6.peg.10081	GRMZM2G580536	GRMZM2G580536_T01
fig|381124.6.peg.10082	GRMZM2G107289	GRMZM2G107289_T02
fig|381124.6.peg.10083	GRMZM5G899708	GRMZM5G899708_T01
fig|381124.6.peg.10084	GRMZM2G390475	GRMZM2G390475_T01
fig|381124.6.peg.10085	GRMZM2G040424	GRMZM2G040424_T01
fig|381124.6.peg.10086	GRMZM2G121494	GRMZM2G121494_T02
fig|381124.6.peg.10087	GRMZM2G042442	GRMZM2G042442_T01
fig|381124.6.peg.10088	GRMZM2G014832	GRMZM2G014832_T01
fig|381124.6.peg.10089	AC199481.3_FG001	AC199481.3_FGT001
fig|381124.6.peg.1009	GRMZM2G005456	GRMZM2G005456_T02
fig|381124.6.peg.10090	GRMZM2G078283	GRMZM2G078283_T01
fig|381124.6.peg.10091	GRMZM2G051311	GRMZM2G051311_T01
fig|381124.6.peg.10092	GRMZM2G156737	GRMZM2G156737_T01
fig|381124.6.peg.10093	GRMZM2G366485	GRMZM2G366485_T01
fig|381124.6.peg.10094	GRMZM2G051374	GRMZM2G051374_T07
fig|381124.6.peg.10095	GRMZM2G020920	GRMZM2G020920_T04
fig|381124.6.peg.10096	GRMZM2G012898	GRMZM2G012898_T01
fig|381124.6.peg.10097	GRMZM2G051750	GRMZM2G051750_T01
fig|381124.6.peg.10098	GRMZM2G060206	GRMZM2G060206_T01
fig|381124.6.peg.10099	GRMZM2G315088	GRMZM2G315088_T01
fig|381124.6.peg.101	GRMZM2G093772	GRMZM2G093772_T01
fig|381124.6.peg.1010	GRMZM2G136231	GRMZM2G136231_T01
fig|381124.6.peg.10100	GRMZM2G031954	GRMZM2G031954_T01
fig|381124.6.peg.10101	GRMZM2G173479	GRMZM2G173479_T01
fig|381124.6.peg.10102	AC205158.3_FG004	AC205158.3_FGT004
fig|381124.6.peg.10103	GRMZM5G801875	GRMZM5G801875_T02
fig|381124.6.peg.10104	GRMZM5G848739	GRMZM5G848739_T01
fig|381124.6.peg.10105	AC202707.3_FG002	AC202707.3_FGT002
fig|381124.6.peg.10106	GRMZM2G125777	GRMZM2G125777_T01
fig|381124.6.peg.10107	GRMZM2G177052	GRMZM2G177052_T01
fig|381124.6.peg.10108	GRMZM2G007953	GRMZM2G007953_T01
fig|381124.6.peg.10109	GRMZM2G419452	GRMZM2G419452_T01
fig|381124.6.peg.1011	GRMZM2G467159	GRMZM2G467159_T01
fig|381124.6.peg.10110	GRMZM2G120257	GRMZM2G120257_T01
fig|381124.6.peg.10111	GRMZM2G106165	GRMZM2G106165_T02
fig|381124.6.peg.10112	GRMZM2G106143	GRMZM2G106143_T02
fig|381124.6.peg.10113	GRMZM2G046994	GRMZM2G046994_T01
fig|381124.6.peg.10114	GRMZM2G002704	GRMZM2G002704_T01
fig|381124.6.peg.10115	GRMZM2G130287	GRMZM2G130287_T01
fig|381124.6.peg.10116	GRMZM2G014069	GRMZM2G014069_T01
fig|381124.6.peg.10117	GRMZM2G041885	GRMZM2G041885_T01
fig|381124.6.peg.10118	GRMZM2G084868	GRMZM2G084868_T01
fig|381124.6.peg.10119	GRMZM2G132371	GRMZM2G132371_T02
fig|381124.6.peg.1012	GRMZM2G583032	GRMZM2G583032_T01
fig|381124.6.peg.10120	GRMZM2G085000	GRMZM2G085000_T03
fig|381124.6.peg.10121	GRMZM2G069922	GRMZM2G069922_T03
fig|381124.6.peg.10122	GRMZM2G155873	GRMZM2G155873_T01
fig|381124.6.peg.10123	GRMZM2G135068	GRMZM2G135068_T02
fig|381124.6.peg.10124	GRMZM2G181194	GRMZM2G181194_T01
