fig|4558.4.peg.10081	Sb07g028710	Sb07g028710.1
fig|4558.4.peg.10082	Sb07g028720	Sb07g028720.1
fig|4558.4.peg.10083	Sb07g028730	Sb07g028730.1
fig|4558.4.peg.10084	Sb07g028740	Sb07g028740.1
fig|4558.4.peg.10085	Sb07g028750	Sb07g028750.1
fig|4558.4.peg.10086	Sb07g028755	Sb07g028755.1
fig|4558.4.peg.10087	Sb07g028760	Sb07g028760.1
fig|4558.4.peg.10088	Sb07g028770	Sb07g028770.1
fig|4558.4.peg.10089	Sb07g028780	Sb07g028780.1
fig|4558.4.peg.1009	Sb10g008670	Sb10g008670.1
fig|4558.4.peg.10090	Sb07g028790	Sb07g028790.1
fig|4558.4.peg.10091	Sb07g028800	Sb07g028800.1
fig|4558.4.peg.10092	Sb07g028810	Sb07g028810.1
fig|4558.4.peg.10093	Sb07g028820	Sb07g028820.1
fig|4558.4.peg.10094	Sb07g028825	Sb07g028825.1
fig|4558.4.peg.10095	Sb07g028830	Sb07g028830.1
fig|4558.4.peg.10096	Sb07g028840	Sb07g028840.1
fig|4558.4.peg.10097	Sb07g028850	Sb07g028850.1
fig|4558.4.peg.10098	Sb07g028860	Sb07g028860.1
fig|4558.4.peg.10099	Sb07g028870	Sb07g028870.1
fig|4558.4.peg.101	Sb10g001080	Sb10g001080.1
fig|4558.4.peg.1010	Sb10g008680	Sb10g008680.1
fig|4558.4.peg.10100	Sb07g028875	Sb07g028875.1
fig|4558.4.peg.10101	Sb07g028880	Sb07g028880.1
fig|4558.4.peg.10102	Sb07g028890	Sb07g028890.1
fig|4558.4.peg.10103	Sb07g028900	Sb07g028900.1
fig|4558.4.peg.10104	Sb07g028910	Sb07g028910.1
fig|4558.4.peg.10105	Sb07g028920	Sb07g028920.1
fig|4558.4.peg.10106	Sb07g028930	Sb07g028930.1
fig|4558.4.peg.10107	Sb07g028940	Sb07g028940.1
fig|4558.4.peg.10108	Sb07g028945	Sb07g028945.1
fig|4558.4.peg.10109	Sb07g028950	Sb07g028950.1
