fig|3847.5.peg.10163	GLYMA04G41080	GLYMA04G41080.1
fig|3847.5.peg.10164	GLYMA04G41090	GLYMA04G41090.1
fig|3847.5.peg.10165	GLYMA04G41100	GLYMA04G41100.1
fig|3847.5.peg.10166	GLYMA04G41120	GLYMA04G41120.2
fig|3847.5.peg.10167	GLYMA04G41125	GLYMA04G41125.1
fig|3847.5.peg.10168	GLYMA04G41130	GLYMA04G41130.1
fig|3847.5.peg.10169	GLYMA04G41140	GLYMA04G41140.1
fig|3847.5.peg.1017	GLYMA01G26620	GLYMA01G26620.1
fig|3847.5.peg.10170	GLYMA04G41150	GLYMA04G41150.5
fig|3847.5.peg.10171	GLYMA04G41160	GLYMA04G41160.2
fig|3847.5.peg.10172	GLYMA04G41170	GLYMA04G41170.1
fig|3847.5.peg.10173	GLYMA04G41180	GLYMA04G41180.1
fig|3847.5.peg.10174	GLYMA04G41200	GLYMA04G41200.1
fig|3847.5.peg.10175	GLYMA04G41210	GLYMA04G41210.2
fig|3847.5.peg.10176	GLYMA04G41220	GLYMA04G41220.1
fig|3847.5.peg.10177	GLYMA04G41230	GLYMA04G41230.1
fig|3847.5.peg.10178	GLYMA04G41240	GLYMA04G41240.2
fig|3847.5.peg.10179	GLYMA04G41250	GLYMA04G41250.1
fig|3847.5.peg.1018	GLYMA01G26650	GLYMA01G26650.1
fig|3847.5.peg.10180	GLYMA04G41260	GLYMA04G41260.3
fig|3847.5.peg.10181	GLYMA04G41270	GLYMA04G41270.1
fig|3847.5.peg.10182	GLYMA04G41280	GLYMA04G41280.1
fig|3847.5.peg.10183	GLYMA04G41290	GLYMA04G41290.1
fig|3847.5.peg.10184	GLYMA04G41301	GLYMA04G41301.1
fig|3847.5.peg.10185	GLYMA04G41310	GLYMA04G41310.2
fig|3847.5.peg.10186	GLYMA04G41320	GLYMA04G41320.2
fig|3847.5.peg.10187	GLYMA04G41330	GLYMA04G41330.1
fig|3847.5.peg.10188	GLYMA04G41340	GLYMA04G41340.2
fig|3847.5.peg.10189	GLYMA04G41350	GLYMA04G41350.1
fig|3847.5.peg.1019	GLYMA01G26670	GLYMA01G26670.1
fig|3847.5.peg.10190	GLYMA04G41360	GLYMA04G41360.1
fig|3847.5.peg.10191	GLYMA04G41370	GLYMA04G41370.1
fig|3847.5.peg.10192	GLYMA04G41380	GLYMA04G41380.2
fig|3847.5.peg.10193	GLYMA04G41390	GLYMA04G41390.1
fig|3847.5.peg.10194	GLYMA04G41400	GLYMA04G41400.2
fig|3847.5.peg.10195	GLYMA04G41410	GLYMA04G41410.1
fig|3847.5.peg.10196	GLYMA04G41420	GLYMA04G41420.1
fig|3847.5.peg.10197	GLYMA04G41430	GLYMA04G41430.2
